# Derived from Ho et al. arXiv:2606.02399v1, Fig. 1(e) vector source.
# Source figure SHA256: ba18ac4c15f68f024d5edad3915d1d4ff40d0ea95b9f9adc50516613b92e4382
# Regenerate with: python extract_ho_fig1e.py theory1ev_V4.pdf --output data/ho_fig1e_absorption.csv
pressure_GPa,energy_eV,absorption_au
80,2.73613532,1.78275261
80,2.76300933,1.69415173
80,2.80644530,1.52728242
80,2.84425653,1.35807883
80,2.96081455,0.83172054
80,3.00706319,0.65064963
80,3.04799917,0.51179814
80,3.08956009,0.39314467
80,3.13143368,0.29538069
80,3.17580708,0.21378482
80,3.20018090,0.17743117
100,1.39990459,0.00000000
100,2.33987058,0.01120989
100,2.34674522,0.02934230
100,2.34924522,0.05569016
100,2.35080759,0.09943053
100,2.35205769,0.18861717
100,2.35299511,0.35938133
100,2.35393254,0.80707627
100,2.35486996,1.39446025
100,2.35518243,1.28972063
100,2.35705748,0.28724953
100,2.35861986,0.11981940
100,2.36049490,0.06561007
100,2.36268223,0.04944490
100,2.36705707,0.05027437
100,2.37518181,0.06729104
100,2.38080655,0.08457636
100,2.38455645,0.10051251
100,2.40361820,0.24421825
100,2.41393046,0.41266577
100,2.42018015,0.51694147
100,2.42236747,0.53108361
100,2.42549242,0.52134869
100,2.42861737,0.49515497
100,2.43267973,0.46137269
100,2.43955438,0.45654413
100,2.45392901,0.45838805
100,2.45892880,0.49096210
100,2.46611592,0.56398944
100,2.47736560,0.70975933
100,2.48674024,0.82108775
